"RecordType","DateReceived","FileName","FileValue","CountTotal","DCACode"
"NewPlacementsFile","26/06/2018","Lucania_NewPlacementFile_20180626_48707.csv","1486.46","50","Lucania"
"GroveAccountReference","PrimaryAccountReference","SecondaryAccountReference","Currency Code","GroveAccountId","ClientBalance","ClientBalanceDate","GroveBookName","CountryOfOrigin","AssignmentId","AssignmentTypeCode","TotalAmountAssigned","SegmentName","LastPaymentAmount","LastPaymentDate","NumberOfPaymentsInColls","ValueOfPaymentsInColls","PaymentMethod","DefaultDate","DefaultAmount","TerminationReason","CoreDebtAmount","ChargesToDate","InterestToDate","PrimaryProductNumber","PrimaryProductDescription","PrimaryProductValue","PrimaryProductOpenDate","PrimaryProductCloseDate","AssociatedProduct1 AccountNumber","AssociatedProduct1 Description","AssociatedProduct1Value","AssociatedProduct1OpenDate","AssociatedProduct1CloseDate","AssociatedProduct2AccountNumber","AssociatedProduct2Description","AssociatedProduct2Value","AssociatedProduct2OpenDate","AssociatedProduct2CloseDate","AssociatedProduct3 AccountNumber","AssociatedProduct3 Description","AssociatedProduct3Value","AssociatedProduct3OpenDate","AssociatedProduct3CloseDate","GrovePropensityScore","LitigationStatus","ContractAvailable","Region","Originator","Participants","BankAccountNumber","SpareField1","SpareField2","SpareField3","SpareField4","SpareField5","SpareField6","SpareField7","SpareField8","SpareField9","SpareField10"
"TTI-607853397","101421303","","EUR","32479572","29.44","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","50.00","30/08/2013","2","100.00","","","","","29.44","","","","Telecom","","2008-02-11","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-607902889","109772741","","EUR","32496999","31.95","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.95","","","","Telecom","","2006-06-30","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-607911328","111032301","","EUR","32497992","30.09","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.09","","","","Telecom","","2001-02-21","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608145249","152322701","","EUR","32563200","31.51","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.51","","","","Telecom","","2007-07-02","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608168241","154563302","","EUR","32565803","30.98","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","30.98","","","","Telecom","","2007-10-31","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608223103","164584001","","EUR","32572960","19.58","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","21.77","15/05/2013","1","21.77","","","","","19.58","","","","Telecom","","2007-06-28","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608246401","171154504","","EUR","32576194","31.83","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.83","","","","Telecom","","2008-03-14","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608253993","172563801","","EUR","32577293","31.92","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.92","","","","Telecom","","2001-11-07","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608288361","180359901","","EUR","32581975","32.15","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","32.15","","","","Telecom","","2006-06-01","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
"TTI-608311569","183921131","","EUR","32585046","31.72","26/06/2018","ONO Q1 2013","","","","0.00","Amicable","","","","","","","","","31.72","","","","Telecom","","2008-02-14","","","","","","","","","","","","","","","","","","Not Litigated at Purchase","","Spain","","1","","","","","","","","","","",""
