"RecordType","DateReceived","FileName","FileValue","CountTotal","DCACode"
"SupplementaryTeamsFile","19/12/2018","Lucania_SupplementaryTeamsFile_20181219_61727.csv","","60","Lucania"
"GroveAccountReference","TeamName"
"TTI-626624977","Standard 2"
"TTI-626632426","Standard 2"
"TTI-626635593","Standard 2"
"TTI-626638928","Standard 2"
"TTI-626639728","Standard 2"
"TTI-626639843","Standard 2"
"TTI-626640049","Standard 2"
"TTI-626641310","Standard 2"
"TTI-626646533","Standard 2"
"TTI-626646640","Standard 2"
"TTI-626647150","Standard 2"
"TTI-626647820","Standard 2"
"TTI-626648141","Standard 2"
"TTI-626649123","Standard 2"
"TTI-626650949","Standard 2"
"TTI-626652242","Standard 2"
"TTI-626653372","Standard 2"
"TTI-626653604","Standard 2"
"TTI-626658637","Standard 2"
"TTI-626665095","Standard 2"
"TTI-626688014","Standard 2"
"TTI-626695514","Standard 2"
"TTI-626695563","Standard 2"
"TTI-626701072","Standard 2"
"TTI-626704274","Standard 2"
"TTI-626704415","Standard 2"
"TTI-626707731","Standard 2"
"TTI-626711063","Standard 2"
"TTI-626724488","Standard 2"
"TTI-626724546","Standard 2"
"TTI-626724611","Standard 2"
"TTI-626724751","Standard 2"
"TTI-626724868","Standard 2"
"TTI-626734636","Standard 2"
"TTI-626734743","Standard 2"
"TTI-626741714","Standard 2"
"TTI-626741763","Standard 2"
"TTI-626744866","Standard 2"
"TTI-626748156","Standard 2"
"TTI-626751226","Standard 2"
"TTI-626754451","Standard 2"
"TTI-626758148","Standard 2"
"TTI-626758155","Standard 2"
"TTI-626764815","Standard 2"
"TTI-626768626","Standard 2"
"TTI-626771976","Standard 2"
"TTI-626772008","Standard 2"
"TTI-626778880","Standard 2"
"TTI-626782197","Standard 2"
"TTI-626782403","Standard 2"
"TTI-626782486","Standard 2"
"TTI-626788103","Standard 2"
"TTI-626792667","Standard 2"
"TTI-626792857","Standard 2"
"TTI-626796486","Standard 2"
"TTI-626799704","Standard 2"
"TTI-626799795","Standard 2"
"TTI-626803092","Standard 2"
"TTI-626803142","Standard 2"
"TTI-626803506","Standard 2"
